id;name;category_id
294;Cimitir si crematoriu pentru animale;20
295;Organizatori concursuri, targuri, expozitii;20
296;Asociatii si federatii (Pet & vet);20
297;Handleri;20
298;Pet-sitteri;20
299;Urgente medicale veterinare;20
300;Alte servicii pet & vet;20
301;Automatizari industriale;21
302;Birotica si papetarie;21
303;Combustibil;21
304;Industrie alimentara;21
305;Confectii industriale;21
306;Confectii metalice;21
307;Prelucrari mecanice;21
308;Prelucrari mecanice prin aschiere;21
309;Taieri;21
310;Indoiri, stantari;21
311;Vopsitorii;21
312;Galvanizare;21
313;Zincare;21
314;Cromare;21
315;Nichelare;21
316;Sablare;21
317;Bobinaj;21
318;Metalurgie;21
319;Tipografii;21
320;Bijuterii;21
321;Gravuri;21
322;Industria lemnului;21
323;Alte servicii de productie si industrie;21
324;Textile;21
325;Agentii de publicitate;22
326;Materiale publicitare;22
327;Productie media;22
328;Alte servicii de publicitate si promovare;22
329;Reparatii calculatoare;23
330;Reparatii telefoane mobile;23
331;Reparatii acumulatori;23
332;Reparatii bijuterii;23
333;Reparatii ceasuri;23
334;Reparatii scule mecanice;23
335;Reparatii scule hidraulice si pneumatice;23
336;Reparatii compresoare;23
337;Reparatii motocositoare;23
338;Reparatii drujbe;23
339;Reparatii corpuri de iluminat;23
340;Reparatii feronerie;23
341;Croitorie;23
342;Reparatii electrocasnice;23
343;Reparatii imprimante si cartusuri;23
344;Reparatii instrumente muzicale;23
345;Reparatii lifturi civile;23
346;Reparatii cantare electronice si mecanice;23
347;Reparatii centrale electrice si sisteme de climatizare;23
348;Reparatii centrale termice;23
349;Reparatii si revizii sisteme de ignifugari;23
350;Reparatii pantofarie si marochinarie;23
351;Alte tipuri de reparatii;23
352;Agentii de recrutare Romania;24
353;Agentii de recrutare pentru strainatate;24
354;Alte servicii de resurse umane;24
355;Alarme si sisteme de securitate;25
356;Garda de corp;25
357;Paza evenimente;25
358;Paza fixa (obiective fixe);25
359;Interventie rapida;25
360;Proiectare sisteme de securitate;25
361;Instalare sisteme de securitate;25
362;Mentenanta sisteme de securitate;25
363;Sisteme anti-incendiu;25
364;Securitate informatica;25
365;Detectivi particulari;25
366;Transport valori;25
367;Seifuri;25
368;Alte servicii de securitate si paza;25
369;Chirurgie;26
370;Analize medicale;26
371;Cardiologie;26
372;Alergologie si imunologie;26
373;Dermatologie si venerologie;26
374;Diabet zaharat,nutritie si boli metabolice;26
375;Endocrinologie;26
376;Epidemiologie;26
377;Gastroenterologie;26
378;Genetica medicala;26
379;Geriatrie si gerontologie;26
380;Hematologie;26
381;Medicina muncii;26
382;Medicina de familie;26
383;Medicina interna;26
384;Medicina legala;26
385;Medicina nucleara;26
386;Medicina sportiva si recuperare medicala;26
387;Urologie si nefrologie;26
388;Neonatologie;26
389;Neurologie;26
390;Ortopedie si traumatologie;26
391;ORL si audiometrie;26
392;Pediatrie;26
393;Pneumologie;26
394;Psihiatrie;26
395;Psihologie, psihoterapie si logopedie;26
396;Reumatologie;26
397;Stomatologie;26
398;Oftalmologie si optica medicala;26
399;Farmacii si produse farmaceutice;26
400;Paliatie;26
401;Celule stem;26
402;Consumabile si aparatura medicala;26
